id,bloque,promesa,estado,severidad,verificacion,esfuerzo,lote,rama,dueno,autoridad_aceptacion,firmado_por,fecha_firma,evidencia_prod,archivo
A03-2,B4 A03,"El nombre de arriba lo pone el equipo, como un grupo de WhatsApp.",BROKEN,P0,2-lens,S,B7a,fix/ws-name,Brent,Directora,,,PENDIENTE,Display works: pages/community/workspace.tsx:869 renders currentWorkspace.custom_name || currentWorkspace.name. The rename affordance is shown to any community member — canEditWork
A03-3,B4 A03,"El feed: un miembro publica, lo que se conversa queda escrito donde todos lo ven, con reacciones (5 Me gusta), comentarios, fecha relativa (hace alred",BROKEN,P0,2-lens,L,B7b,fix/feed-srv,Brent,Directora,,,PENDIENTE,Every visual element the presenter named is real code. components/feed/PostCard.tsx:143 applies line-clamp-3 and :148-153 renders the 'Ver más'/'Ver menos' toggle above 150 chars; 
A03-4,B4 A03,"Cinco pestañas existen y funcionan: Vista General, Reuniones, Sesiones, Documentos, Mensajes.",CONDITIONAL,P1,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"All five tabs are declared verbatim and unconditionally shown: components/workspace/WorkspaceTabNavigation.tsx:28-32 ({overview:'Vista General'}, {meetings:'Reuniones'}, {sessions:"
A03-5,B4 A03,Miembros de la Comunidad (14) — un listado desplegable de miembros con el conteo real.,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The panel itself is correct and, unusually for this codebase, well built. pages/community/workspace.tsx:562-655: heading 'Miembros de la Comunidad' (:568-570), the count `({members"
A03-6,B4 A03,"El buscador «Buscar en documentos, m…» funciona en todo el espacio de trabajo.",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The input is real and always visible: pages/community/workspace.tsx:838-846 passes searchValue/onSearchChange/searchPlaceholder='Buscar en documentos, mensajes, reuniones...' into "
A03-7,B4 A03,"El menú lateral mostrado: Mi Panel, Mi Perfil, Mi Aprendizaje, Espacio Colaborativo (Vista General / Sesiones), Procesos de Cambio, Comunidades, Usuar",CONDITIONAL,P1,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"All nine labels exist verbatim in components/layout/Sidebar.tsx NAVIGATION_ITEMS: Mi Panel :117-122 (/dashboard, ungated), Mi Perfil :124-129 (/profile, ungated), Mi Aprendizaje :1"
A04-1,B4 A04,"Cada reunion de la comunidad se documenta en tres pasos: informacion, resumen, y acuerdos y compromisos.",BROKEN,P0,2-lens,M,B3a,fix/meet-save,Brent,Directora,,,PENDIENTE,"The 3-step wizard exists exactly as described: `STEPS` = Informacion / Resumen / 'Acuerdos y Compromisos' at components/meetings/MeetingDocumentationModal.tsx:84-102, rendered as a"
A04-2,B4 A04,"Un ACUERDO es del grupo: ""No tiene dueno, es del grupo.""",BROKEN,P0,2-lens,S,B3a,fix/meet-save,Brent,Directora,,,PENDIENTE,"The OWNERLESS MODELLING IS CORRECT. `meeting_agreements` (supabase/migrations/00000000000000_baseline.sql:9235-9246) has columns id, meeting_id, agreement_text, order_index, catego"
A04-3,B4 A04,"El sistema no te deja hacer trampa: exige un responsable con nombre y apellido, una fecha de vencimiento, un estado (pendiente/en progreso/completado/",BROKEN,P0,2-lens,L,B3a,fix/meet-save,Brent,Directora,,,PENDIENTE,"UI: NO enforcement. `validateStep(MeetingFormStep.AGREEMENTS)` returns `true` unconditionally with the comment 'Agreements, commitments and tasks are optional' (MeetingDocumentatio"
A04-4,B4 A04,Y te muestra en la cara si esta a tres dias o si esta vencido hace cinco.,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The proximity display is implemented: components/meetings/TaskTracker.tsx:176-177 computes `daysUntilDue`/`isItemOverdue` and :230-243 renders the date with a suffix -- 'Hoy', 'Nd'"
A04-5,B4 A04,"Se aprieta 'Finalizar y enviar' y el resumen completo -con cada acuerdo y cada compromiso, con su responsable y su plazo- le llega POR CORREO A TODA L",BROKEN,P0,2-lens,L,B3b,fix/mail-truth,Brent,Directora,,,PENDIENTE,"The button label is verbatim ('Finalizar y enviar', components/meetings/FinalizeMeetingDialog.tsx:206) and the flow is real: POST /api/meetings/[id]/finalize atomically flips borra"
A04-6,B4 A04,"'Nueva Reunion', listado con busqueda, filtros y orden por Fecha/Titulo/Estado/Creacion; estados de reunion (ej. 'Programada'); detalle con fecha, dur",BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,"MOST OF IT IS REAL. 'Nueva Reunion' button at pages/community/workspace.tsx:1128-1137 (gated by canUserManageMeetings, which returns true for anyone with an active role, utils/meet"
A04-7,B4 A04,Autoguardado del acta de la reunion (ruta /api/meetings/[id]/autosave).,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,The route itself is well built: optimistic concurrency on `version` with a status='borrador' guard on the UPDATE that closes the autosave/finalize race (pages/api/meetings/[id]/aut
A05-1,B4 A05,"La pestaña Sesiones dentro del espacio de la comunidad lista ""Proximas Sesiones"" y ""Sesiones Pasadas"" con estados reales: Programada, Completada, Canc",BROKEN,P0,2-lens,L,B4a,fix/sess-route,Brent,Directora,,,PENDIENTE,"The tab exists and is wired: components/workspace/WorkspaceSessionsTab.tsx:161-173 splits upcoming/past, :335 and :354 render the exact headings ""Próximas Sesiones"" / ""Sesiones Pas"
A05-2,B4 A05,"Un boton ""Unirse a la reunion"" en las sesiones programadas.",BROKEN,P0,2-lens,M,B4c,fix/attendees,Brent,Directora,,,PENDIENTE,The control exists and its render predicate is correct: components/workspace/WorkspaceSessionsTab.tsx:32-37 (has_meeting AND not closed by source) and :297-311 render the anchor to
A05-3,B4 A05,"El consultor ve el espacio de TODAS las comunidades de sus colegios, aunque no sea miembro de ninguna.",BROKEN,P0,2-lens,M,B4b,fix/consultor,Brent,Consultor,,,PENDIENTE,"The data layer supports the promise: utils/workspaceUtils.ts:220-245 (getCommunitiesForConsultant) selects growth_communities .in('school_id', <the consultor's school_ids>) with no"
A05-4,B4 A05,"Puede ser el quien levante el acta y deje los compromisos escritos durante su visita, en vivo, mientras conversan.",BROKEN,P0,2-lens,M,B4b,fix/consultor,Brent,Consultor,,,PENDIENTE,Blocked at the door by the same gate as A05-3: middleware.ts:172-190 redirects the consultora off /community/workspace before the Reuniones tab renders. Past that gate the picture 
A05-5,B4 A05,Las sesiones del asesor y las reuniones de la comunidad son dos sistemas distintos. Un compromiso no cuelga de una asesoria.,READY,NONE,1-agent,,,,,,,,n/a,"Confirmed at the schema level. consultor_sessions (supabase/migrations/00000000000000_baseline.sql:7703-7745) carries school_id, growth_community_id, meeting_link/meeting_provider "
A05-6,B4 A05,El consultor marca asistencia y deja su informe (pages/consultor/sessions/).,BROKEN,P0,2-lens,M,B4c,fix/attendees,Brent,Consultor,,,PENDIENTE,Half of it works. The pages exist and admit the consultora: pages/consultor/sessions/index.tsx:142-149 (consultor|admin) and pages/consultor/sessions/[id].tsx:118 (consultor|admin|
A06-1,B4 A06-A08,El flujo de cinco pasos existe como recorrido coherente: Contexto Transversal -> Plan de Migracion -> Instrumento y calibracion -> Aplicacion docente ,BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,"All five surfaces exist. Step 1: /Users/brentcurtis/dev/fne-lms/pages/school/transversal-context/index.tsx + edit.tsx, sidebar entry components/layout/Sidebar.tsx:274-281 (restrict"
A07-1,B4 A06-A08,"Contexto Transversal captura: total de estudiantes, que niveles educativos imparte la escuela (10 seleccionados en la demo) y cursos por nivel. Muestr",CONDITIONAL,P1,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,All three data points and the timestamp are implemented exactly as promised: total_students card at /Users/brentcurtis/dev/fne-lms/pages/school/transversal-context/index.tsx:645-66
A07-2,B4 A06-A08,Dos estados de completitud mostrados como badges: 'Contexto Estructural: Completado' y 'Preguntas de Contexto: Completado'.,CONDITIONAL,P2,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,Both badges exist with exactly those labels: /Users/brentcurtis/dev/fne-lms/pages/school/transversal-context/index.tsx:596-620 renders 'Contexto Estructural' (:600) and 'Preguntas 
A07-3,B4 A06-A08,"'El ano de implementacion determina el nivel de madurez esperado: Ano 1 Incipiente, Ano 5 Consolidado.'",BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,TWO CONTRADICTORY MAPPINGS EXIST. (1) The sentence the directoras heard is display-only text in /Users/brentcurtis/dev/fne-lms/pages/school/transversal-context/index.tsx:748-752: y
A08-1,B4 A06-A08,"Plan de Migracion muestra cinco anillos de 'Proyeccion de Transformacion': 44 / 63 / 81 / 94 / 100 %, con el ano actual destacado.",BROKEN,P0,2-lens,M,B6a,fix/plan-pct,Brent,Directora,,,PENDIENTE,"THE ARITHMETIC IS REAL, NOT HARDCODED — and that is what exposes the bug. /Users/brentcurtis/dev/fne-lms/pages/school/migration-plan/index.tsx:307-323: `calculateTransformationPerc"
A08-2,B4 A06-A08,"'GT = 100% transformado desde el inicio' y 'GI por ano' editable: Ano1 10%, Ano2 25%, Ano3 50%, Ano4 75%, Ano5 100%.",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,The copy and the controls are exactly as promised: the literal string 'GT = 100% transformado desde el inicio' at /Users/brentcurtis/dev/fne-lms/pages/school/migration-plan/index.t
A08-3,B4 A06-A08,"La matriz GT/GI: nivel por nivel, ano por ano, define si un curso es Generacion Tractor o Generacion Innova.",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The matrix itself is genuine and persisted: rows x 5 year columns at /Users/brentcurtis/dev/fne-lms/pages/school/migration-plan/index.tsx:704-753, toggle at :230-243, save at :246-"
A08-4,B4 A06-A08,'Los niveles de Medio Menor a Segundo Basico son SIEMPRE GT y NO PUEDEN MODIFICARSE.',REFUTED,NONE,2-lens,,,,,,,,n/a,"Two of three layers hold; the data layer is wide open. UI: /Users/brentcurtis/dev/fne-lms/pages/school/migration-plan/index.tsx:720 computes isLocked from ab_grades.is_always_gt, :"
A08-5,B4 A06-A08,'Cada vez que se toca esa matriz queda registrado en el historial: quien la cambio y cuando.',READY,P2,1-agent,,,,,,,,n/a,A real audit table exists and is written on every matrix save that changes anything. Table: school_change_history (supabase/migrations/00000000000000_baseline.sql:10604-10618) with
A08-6,B4 A06-A08,"'Cuando llega una directora nueva, el plan no empieza de cero' — durabilidad ante rotacion de directoras.",READY,P2,1-agent,,,,,,,,n/a,"Every artefact in this domain is keyed by school, never by user. ab_migration_plan has columns school_id/year_number/grade_id/generation_type only — no owner column (supabase/migra"
A09-1,B4 A09,La Fundacion construye y publica el instrumento. Version 1.1.0.,CONDITIONAL,P1,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"Versioning IS real dotted semver stored as text (supabase/migrations/00000000000000_baseline.sql:6339 `version text NOT NULL`; UNIQUE(area,grade_id,version) at :11702). Creation se"
A09-2,B4 A09,"Constructor de Evaluaciones: nombre, AREA, VERSION, ESTADO, ACTUALIZADO, acciones (editar, duplicar); pestanas Activos / Archivados; filtros por estad",READY,P2,1-agent,,,,,,,,n/a,Every promised element exists at pages/admin/assessment-builder/index.tsx. Table head renders exactly Nombre / Área / Versión / Estado / Actualizado / Acciones (:514-531). Rows ren
A09-3,B4 A09,"La escala de madurez tiene exactamente cinco niveles: 0 Por Comenzar, 1 Incipiente, 2 En Desarrollo, 3 Avanzado, 4 Consolidado.",READY,P2,1-agent,,,,,,,,n/a,"types/assessment-builder.ts:61-67 defines MATURITY_LEVELS as exactly five entries with exactly those labels: {0,'Por Comenzar'},{1,'Incipiente'},{2,'En Desarrollo'},{3,'Avanzado'},"
A09-4,B4 A09,"Todo indicador pertenece a una de exactamente cinco categorias: Cobertura, Frecuencia, Profundidad, Traspaso, Detalle.",READY,NONE,1-agent,,,,,,,,n/a,"Enforced at all four layers with no drift. DB: `CONSTRAINT assessment_indicators_category_check CHECK (category = ANY (ARRAY['cobertura','frecuencia','profundidad','traspaso','deta"
A09-5,B4 A09,Los niveles esperados se fijan por ano y por generacion (ano 1-5 y GT/GI) — la pantalla de expectativas.,CONDITIONAL,P1,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,The screen is real and correctly shaped. Schema: assessment_year_expectations carries year_1_expected..year_5_expected plus matching *_expected_unit columns and `generation_type pu
A09-6,B4 A09,Publicar una nueva version no altera retroactivamente las evaluaciones ya aplicadas.,BROKEN,P0,2-lens,L,B5,fix/snapshot,Brent,Docente,,,PENDIENTE,"The snapshot is mutated in place, and applied evaluations read that exact row. Chain of evidence: (1) `assessment_instances.template_snapshot_id uuid NOT NULL` FKs to assessment_te"
A09-7,B4 A09,Las acciones de archivar y duplicar funcionan.,BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,"DUPLICATE works and is thorough. pages/api/admin/assessment-builder/templates/[templateId]/duplicate.ts creates a new draft (:87-98), copies objectives with an id map (:131-152), m"
A06-2,B4 A09-A10,"Asignar un docente a un curso es lo que crea sus evaluaciones. NO HAY UN SEGUNDO TRAMITE, ni una planilla que alguien tenga que llenar aparte.",CONDITIONAL,P0,1-agent,S,B9a,fix/assign-rec,Brent,Onboarding,,,PENDIENTE,"The one-step path is real: pages/api/school/transversal-context/assign-docente.ts:98-110 inserts the course assignment and :121-127 immediately calls triggerAutoAssignment, which c"
A06-3,B4 A09-A10,"Aplicacion docente: evidencia por indicador, CON AUTOGUARDADO.",BROKEN,P1,1-lens,M,BACKLOG-P1,,,,,,PENDIENTE,"AUTOSAVE EXISTS: pages/docente/assessments/[instanceId]/index.tsx:218-225 debounces 2s after any change and PUTs to /api/docente/assessments/[instanceId]/responses (:256-260), whic"
A09-10,B4 A09-A10,"El docente responde la suya, POR CURSO y POR GENERACION.",BROKEN,P1,1-lens,M,BACKLOG-P1,,,,,,PENDIENTE,"POR GENERACIÓN is correct: generation_type is resolved from ab_migration_plan by (school_id, year_number, grade_id) at lib/services/assessment-builder/autoAssignmentService.ts:121-"
A09-11,B4 A09-A10,"La categoria cobertura funciona como una compuerta: si el docente responde que NO, la plataforma CIERRA EL RESTO DE LA PRACTICA y anota 'esta practica",BROKEN,P0,2-lens,S,B1c,fix/gate-score,Brent,Docente,,,PENDIENTE,"(a) HIDING — WORKS. components/assessment/ModuleCard.tsx:32-51 takes the indicators active this year, sorts by displayOrder, and if the first is category 'cobertura' with coverageV"
A09-8,B4 A09-A10,"""Mis Evaluaciones"": '3 evaluaciones asignadas', agrupadas POR COMPLETAR / COMPLETADAS, cada una con version (v1.1.0), estado (Pendiente / En Progreso ",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,Every enumerated element is really implemented and reads real data: header 'N evaluación(es) asignada(s)' pages/docente/assessments/index.tsx:164; grouping 'Por Completar (N)' :205
A09-9,B4 A09-A10,La insignia 'Nueva version — el instrumento fue actualizado desde tu ultima evaluacion' y un chip 'Actualizado'.,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,The UI is there and the copy is verbatim: chip 'Actualizado' at pages/docente/assessments/index.tsx:293-298 and the line 'Nueva versión — el instrumento fue actualizado desde tu úl
A10-1,B4 A10,"""Puntuación Total 59% / En Desarrollo"" — puntaje calculado mapeado a la banda de madurez 0-4.",READY,NONE,1-agent,,,,,,,,n/a,"Reproduced empirically by running the real code (calculateAssessmentScores) against the Santa Marta seed responses for instance ""3a"": totalScore = 58.55, Math.round → 59; scoreToLe"
A10-2,B4 A10,"""Expectativa Año 2 GT: Cumple. Nivel esperado: Incipiente.""",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,Half of the promise holds. The YEAR is genuinely the school's implementation year: lib/services/assessment-builder/autoAssignmentService.ts:74 reads school_transversal_context.impl
A10-3,B4 A10,"""Indicadores 19/19 sobre la expectativa.""",BROKEN,P1,1-lens,S,BACKLOG-P1,,,,,,PENDIENTE,The counter is structurally incapable of showing anything other than N/N. lib/services/assessment-builder/scoringService.ts:195-198 computes isAboveExpectation: indicator.expectedL
A10-4,B4 A10,"""Fortaleza: Aprendizaje Basado en Proyectos"" y ""Área de mejora: Metacognición y agencia"" — derivadas automáticamente, ""no lo escribió nadie a mano"".",READY,P2,1-agent,,,,,,,,n/a,"Genuinely derived, with no manual-entry path. pages/api/docente/assessments/[instanceId]/results.ts:214-218 reduces summary.moduleScores to the max moduleScore (strongestModule) an"
A10-5,B4 A10,"""Análisis de Brechas - Año 2, Expectativas GT"" con Adelante 15, En camino 4, Atrasado 0, Crítico 0.",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The panel renders and the four stage numbers reproduce EXACTLY — I ran the real calculateAssessmentGapAnalysis over the seeded 3a responses and got {ahead: 15, onTrack: 4, behind: "
A10-6,B4 A10,"Los gráficos ""Puntuación por Práctica Generativa"" y ""Perfil de Competencias"" se renderizan.",READY,P2,1-agent,,,,,,,,n/a,components/assessment/results/ResultsCharts.tsx:41 renders the bar-chart heading as `Puntuación por ${ENTITY_LABELS.module}` and types/assessment-builder.ts:120 defines module: 'Pr
A10-7,B4 A10,"Tabla de detalle por práctica: ""70% Aprendizaje Basado en Proyectos, Avanzado, 5 indicadores"" con filas INDICADOR / CATEGORIA / RESPUESTA (Sí, ""2 - En",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,Every literal on the claim is reproduced. Running the real code on 3a gives ABP moduleScore exactly 70.00 with 5 indicators; components/assessment/results/ModuleResultCard.tsx:55 p
A10-8,B4 A10,El puntaje debe ser confiable dada la compuerta de cobertura: qué aporta a la Puntuación Total una práctica declarada no implementada.,BROKEN,P0,2-lens,M,B1c,fix/gate-score,Brent,Docente,,,PENDIENTE,"What the gate does to the score (verified by running the real code on seeded instance 3b, where APR-3.1 = No and the rest of Metacognición is unanswered): the práctica scores 0.00 "
A11-1,B4 A11,"El colegio completo, SIN PEDIRLE EL DATO A NADIE — la directora ve resultados agregados sin recolectar datos manualmente.",BROKEN,P0,2-lens,S,B6b,fix/nav-dir,Brent,Directora,,,PENDIENTE,The aggregation itself is real and server-side: pages/api/directivo/assessments/school-results.ts:99-121 pulls every `assessment_instances` row with `school_id = <her school>` and 
A11-2,B4 A11,"Encabezado: ""Año de transformación: 2 (Nivel esperado: Incipiente)"" con botón ""Actualizar"".",BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,Both elements exist. pages/directivo/assessments/dashboard.tsx:298-305 renders `Año de transformación: {schoolResults?.transformationYear || 1}` plus `(Nivel esperado: {schoolResul
A11-3,B4 A11,"Cuatro tarjetas: Promedio General 46% / En Desarrollo; Evaluaciones 3 completadas; Áreas 1 evaluadas; ""Cumplen Expectativa 3/14 cursos"".",BROKEN,P1,2-lens,M,BACKLOG-P1,,,,,,PENDIENTE,All four tiles render as demoed (dashboard.tsx:358-412): Promedio General = `Math.round(overall.avgScore)%` + `overall.levelLabel`; Evaluaciones = `overall.totalInstances`; Áreas =
A11-4,B4 A11,Dos pestañas: Vista General y Por Curso.,CONDITIONAL,P1,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,Both tabs exist and switch correctly: pages/directivo/assessments/dashboard.tsx:330-353 renders the nav with 'Vista General' (:340) and 'Por Curso' (:350) bound to `setActiveTab('o
A11-5,B4 A11,"Gráfico de barras ""Promedio por Vía de Transformación"" y ""Detalle por Área"".",CONDITIONAL,P2,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"Both exist and are wired to real data. The bar chart is at pages/directivo/assessments/dashboard.tsx:417-444 with the exact heading 'Promedio por Vía de Transformación' (:419), fed"
A11-6,B4 A11,"Advertencia del presentador: ""Este panel PROMEDIA todas las aplicaciones completadas; NO compara una con otra. No digas que muestra evolución.""",READY,NONE,1-agent,,,,,,,,n/a,"The caveat is accurate. pages/api/directivo/assessments/school-results.ts:99-121 selects every instance with status='completed' for the school with NO date, version or application-"
A11-7,B4 A11,Alcance: una directora ve solo su propio colegio; un consultor/admin ve los colegios que tiene asignados.,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,Directora half — CORRECT. In both endpoints `req.query.school_id` is read ONLY inside the isAdmin branch; for a non-admin the school is taken from her own role row: school-results.
A12-1,B4 A12,Cada practica generativa tiene un indicador de categoria TRASPASO.,REFUTED,NONE,1-lens,,,,,,,,n/a,"La categoria existe en el esquema: supabase/migrations/00000000000000_baseline.sql:6016 CHECK category IN ('cobertura','frecuencia','profundidad','traspaso','detalle'). PERO no hay"
A12-2,B4 A12,"Ese indicador pide DOS cosas: un enlace a la evidencia y la respuesta a '¿Con la experiencia adquirida, que mejoras sugieres para la implementacion de",BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,Ambos campos existen: components/assessment/inputs/TraspasoInput.tsx:19-22 (input type=url 'Link a carpeta con evidencia') y :37-41 (textarea 'Mejoras sugeridas'). El texto literal
A12-3,B4 A12,Lo que el profesor aprendio queda escrito en el lugar donde el profesor que llegue el proximo ano lo va a encontrar.,MISSING,P2,1-lens,L,BACKLOG-P2,,,,,,PENDIENTE,No existe ninguna via de lectura. Busqueda exhaustiva: `evidence_link`/`improvement_suggestions` se consumen unicamente en components/assessment/IndicatorInput.tsx:99 (que renderiz
A12-4,B4 A12,"Cada evaluacion queda SELLADA a la version del instrumento con que se respondio, con su ano y su curso. Si la Fundacion mejora el instrumento en marzo",BROKEN,P0,2-lens,L,B5,fix/snapshot,Brent,Madre Superiora,,,PENDIENTE,"La mitad buena: assessment_instances.template_snapshot_id es NOT NULL con FK ON DELETE RESTRICT (baseline.sql:15809) a assessment_template_snapshots.snapshot_data (jsonb, baseline."
A12-5,B4 A12,"Si una directora llega nueva a mitad de ano: entra y encuentra el contexto, el plan con su historial, las evaluaciones selladas y el archivo de licita",CONDITIONAL,P1,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,Tres de las cuatro superficies estan correctamente ancladas al colegio y no al usuario. (a) Contexto: school_transversal_context tiene school_id con RLS por auth_is_school_directiv
