work_id,claim_id
W-BL-SWEEP-MI-APRENDIZAJE-10,SWEEP-MI-APRENDIZAJE-10
W-BL-SWEEP-MI-APRENDIZAJE-11,SWEEP-MI-APRENDIZAJE-11
W-BL-SWEEP-MI-APRENDIZAJE-12,SWEEP-MI-APRENDIZAJE-12
W-BL-SWEEP-MI-APRENDIZAJE-13,SWEEP-MI-APRENDIZAJE-13
W-BL-SWEEP-NONFUNCTIONAL-BUNDLE-WEIGHT,SWEEP-NONFUNCTIONAL-BUNDLE-WEIGHT
W-BL-SWEEP-NONFUNCTIONAL-DEADLINE-ALERTS,SWEEP-NONFUNCTIONAL-DEADLINE-ALERTS
W-BL-SWEEP-NONFUNCTIONAL-EMAIL-DELIVERABILITY-INFRA,SWEEP-NONFUNCTIONAL-EMAIL-DELIVERABILITY-INFRA
W-BL-SWEEP-NONFUNCTIONAL-ERROR-SURFACES-REPORTES,SWEEP-NONFUNCTIONAL-ERROR-SURFACES-REPORTES
W-BL-SWEEP-NONFUNCTIONAL-LICITACIONES-ES-CL,SWEEP-NONFUNCTIONAL-LICITACIONES-ES-CL
W-BL-SWEEP-NONFUNCTIONAL-PROD-SECRETS-UNIGNORED,SWEEP-NONFUNCTIONAL-PROD-SECRETS-UNIGNORED
W-BL-SWEEP-PRIOR-AUDIT-03,SWEEP-PRIOR-AUDIT-03
W-BL-SWEEP-PRIOR-AUDIT-08,SWEEP-PRIOR-AUDIT-08
W-D-01,B03-3
W-D-01,B04-4
W-D-01,SWEEP-ONBOARDING-DATA-01
W-D-02,A15-2
W-D-02,A15-6
W-D-02,SWEEP-ONBOARDING-DATA-01
W-D-02,SWEEP-ONBOARDING-DATA-02
W-D-03,A15-7
W-D-03,SWEEP-ONBOARDING-DATA-01
W-D-03,SWEEP-ONBOARDING-DATA-07
W-D-04,A07-1
W-D-04,A07-2
W-D-04,A12-5
W-D-04,SWEEP-ONBOARDING-DATA-01
W-D-04,SWEEP-ONBOARDING-DATA-05
W-D-05,A03-4
W-D-05,A03-7
W-D-05,SWEEP-ONBOARDING-DATA-01
W-D-06,A13-1
W-D-06,A13-4
W-D-06,A14-2
W-D-06,SWEEP-ONBOARDING-DATA-01
W-D-07,A12-5
W-D-07,B06-1
W-D-07,SWEEP-ONBOARDING-DATA-01
W-D-08,A11-4
W-D-08,A11-5
W-D-08,A12-5
W-D-08,SWEEP-ONBOARDING-DATA-01
W-D-09,SWEEP-MI-APRENDIZAJE-01
W-D-09,SWEEP-ONBOARDING-DATA-01
W-D-10,A09-1
W-D-10,A09-5
W-D-10,SWEEP-ONBOARDING-DATA-01
W-PC-01,B03-1
W-PC-01,SWEEP-PRIOR-AUDIT-10
W-PC-02,A15-1
W-PC-02,SWEEP-ONBOARDING-DATA-07
W-PC-03,SWEEP-NONFUNCTIONAL-EMAIL-DELIVERABILITY-INFRA
W-PC-03,SWEEP-NONFUNCTIONAL-EMAIL-FROM-CONTRACT
W-PC-04,A03-2
W-PC-05,A09-6
W-PC-05,A12-4
W-PC-06,SWEEP-MI-APRENDIZAJE-09
