claim_id,claim_kind,classification_basis,bloque,claim_text,estado,severidad,verificacion,evidencia_prod,autoridad_aceptacion,firmado_por,fecha_firma
SWEEP-MI-APRENDIZAJE-11,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo». (La fila legacy la archivaba bajo «B4 A02»; el localizador sigue a la evidencia.)",B4 A02,"Nav ""Mis Tareas — Tareas de todas mis comunidades"".",BROKEN,P1,1-agent,PENDIENTE,,,
SWEEP-MI-APRENDIZAJE-12,IMPLIED_COMMITMENT,"Localizador: lámina 2 (avance por módulo, vista docente) y lámina 11 («Promedio General 46 %», vista directora). Inferencia: al mostrar el mismo avance en dos superficies se representa que ambas leen el mismo número; la coincidencia nunca se enunció.",B4 A02,El porcentaje de avance que ve la docente y el que ve la directora son el mismo número.,BROKEN,P2,1-agent,PENDIENTE,,,
SWEEP-MI-APRENDIZAJE-13,OPERATIONAL_PRECONDITION,"Precondición de SWEEP-ONBOARDING-DATA-01 («ustedes van a entrar la próxima semana», guión A·01 @0:00). Base técnica: CLAUDE.md §Architecture «must work on older school hardware (low-end browsers, small screens)»; pages/api/my-courses.ts recalcula el avance con un N+1 anidado en cada carga.",B4 A02,"""Mis Cursos"" carga rápido en el hardware antiguo de los colegios.",BROKEN,P2,1-agent,PENDIENTE,,,
A03-1,EXPLICIT_PROMISE,"Bloque 4, lámina 3 («El equipo tiene un lugar propio, y deja huella»); guión A·03 @2:30; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A03,"La comunidad de crecimiento con sus catorce miembros, su nombre y su feed.",CONDITIONAL,P0,1-agent,PENDIENTE,Directora,,
A03-2,EXPLICIT_PROMISE,"Bloque 4, lámina 3 («El equipo tiene un lugar propio, y deja huella»); guión A·03 @2:30; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A03,"El nombre de arriba lo pone el equipo, como un grupo de WhatsApp.",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A03-3,EXPLICIT_PROMISE,"Bloque 4, lámina 3 («El equipo tiene un lugar propio, y deja huella»); guión A·03 @2:30; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A03,"El feed: un miembro publica, lo que se conversa queda escrito donde todos lo ven, con reacciones (5 Me gusta), comentarios, fecha relativa (hace alred",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A03-4,IMPLIED_COMMITMENT,"Localizador: lámina 3 (captura con las cinco pestañas) y guión A·03 @2:30, «Arriba hay cinco pestañas: vista general, reuniones, sesiones, documentos y mensajes». Inferencia: el guión enuncia que las cinco EXISTEN; que las cinco FUNCIONEN no se enunció ni se demostró.",B4 A03,"Cinco pestañas existen y funcionan: Vista General, Reuniones, Sesiones, Documentos, Mensajes.",CONDITIONAL,P1,1-agent,PENDIENTE,Onboarding,,
A03-5,EXPLICIT_PROMISE,"Bloque 4, lámina 3 («El equipo tiene un lugar propio, y deja huella»); guión A·03 @2:30; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A03,Miembros de la Comunidad (14) — un listado desplegable de miembros con el conteo real.,BROKEN,P1,1-agent,PENDIENTE,,,
A03-6,IMPLIED_COMMITMENT,"Localizador: lámina 3, captura con el campo «Buscar en documentos, m…»; el guión no lo menciona. Inferencia: la REGLA DE HONESTIDAD (guión p. 1) acredita que el campo EXISTE en una pantalla real; que busque en todo el espacio de trabajo es inferencia.",B4 A03,"El buscador «Buscar en documentos, m…» funciona en todo el espacio de trabajo.",BROKEN,P1,1-agent,PENDIENTE,,,
A03-7,EXPLICIT_PROMISE,"Bloque 4, lámina 3 («El equipo tiene un lugar propio, y deja huella»); guión A·03 @2:30; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A03,"El menú lateral mostrado: Mi Panel, Mi Perfil, Mi Aprendizaje, Espacio Colaborativo (Vista General / Sesiones), Procesos de Cambio, Comunidades, Usuar",CONDITIONAL,P1,1-agent,PENDIENTE,Onboarding,,
A04-1,EXPLICIT_PROMISE,"Bloque 4, lámina 4 («Cada reunión deja acuerdos y compromisos con nombre y fecha»); guión A·04 @4:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A04,"Cada reunion de la comunidad se documenta en tres pasos: informacion, resumen, y acuerdos y compromisos.",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A04-2,EXPLICIT_PROMISE,"Bloque 4, lámina 4 («Cada reunión deja acuerdos y compromisos con nombre y fecha»); guión A·04 @4:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A04,"Un ACUERDO es del grupo: ""No tiene dueno, es del grupo.""",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A04-3,EXPLICIT_PROMISE,"Bloque 4, lámina 4 («Cada reunión deja acuerdos y compromisos con nombre y fecha»); guión A·04 @4:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A04,"El sistema no te deja hacer trampa: exige un responsable con nombre y apellido, una fecha de vencimiento, un estado (pendiente/en progreso/completado/",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A04-4,EXPLICIT_PROMISE,"Bloque 4, lámina 4 («Cada reunión deja acuerdos y compromisos con nombre y fecha»); guión A·04 @4:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A04,Y te muestra en la cara si esta a tres dias o si esta vencido hace cinco.,BROKEN,P1,1-agent,PENDIENTE,,,
A04-5,EXPLICIT_PROMISE,"Bloque 4, lámina 4 («Cada reunión deja acuerdos y compromisos con nombre y fecha»); guión A·04 @4:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A04,"Se aprieta 'Finalizar y enviar' y el resumen completo -con cada acuerdo y cada compromiso, con su responsable y su plazo- le llega POR CORREO A TODA L",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A04-6,EXPLICIT_PROMISE,"Bloque 4, lámina 4 («Cada reunión deja acuerdos y compromisos con nombre y fecha»); guión A·04 @4:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A04,"'Nueva Reunion', listado con busqueda, filtros y orden por Fecha/Titulo/Estado/Creacion; estados de reunion (ej. 'Programada'); detalle con fecha, dur",BROKEN,P1,1-agent,PENDIENTE,,,
A04-7,REVIEW_REQUIRED,"Sin localizador de presentación. Ni las 17 láminas del Bloque 4 ni las 27 páginas del guión mencionan autoguardado del acta de reunión; el único autoguardado enunciado es el de la aplicación docente (lámina 6, paso 04 «Evidencia por indicador, con autoguardado»; guión A·06 @8:20), que es otra superficie. Falta determinar si esta fila proviene de una demo en vivo no recogida en el guión o de una inferencia del auditor sobre el código.",B4 A04,Autoguardado del acta de la reunion (ruta /api/meetings/[id]/autosave).,BROKEN,P1,1-agent,PENDIENTE,,,
A05-1,EXPLICIT_PROMISE,"Bloque 4, lámina 5 («El asesor trabaja dentro del espacio del equipo»); guión A·05 @7:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A05,"La pestaña Sesiones dentro del espacio de la comunidad lista ""Proximas Sesiones"" y ""Sesiones Pasadas"" con estados reales: Programada, Completada, Canc",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A05-2,EXPLICIT_PROMISE,"Bloque 4, lámina 5 («El asesor trabaja dentro del espacio del equipo»); guión A·05 @7:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A05,"Un boton ""Unirse a la reunion"" en las sesiones programadas.",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A05-3,EXPLICIT_PROMISE,"Bloque 4, lámina 5 («El asesor trabaja dentro del espacio del equipo»); guión A·05 @7:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A05,"El consultor ve el espacio de TODAS las comunidades de sus colegios, aunque no sea miembro de ninguna.",BROKEN,P0,2-lens,PENDIENTE,Consultor,,
A05-4,EXPLICIT_PROMISE,"Bloque 4, lámina 5 («El asesor trabaja dentro del espacio del equipo»); guión A·05 @7:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A05,"Puede ser el quien levante el acta y deje los compromisos escritos durante su visita, en vivo, mientras conversan.",BROKEN,P0,2-lens,PENDIENTE,Consultor,,
A05-5,EXPLICIT_PROMISE,"Bloque 4, lámina 5 («El asesor trabaja dentro del espacio del equipo»); guión A·05 @7:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A05,Las sesiones del asesor y las reuniones de la comunidad son dos sistemas distintos. Un compromiso no cuelga de una asesoria.,READY,NONE,1-agent,n/a,,,
A05-6,EXPLICIT_PROMISE,"Bloque 4, lámina 13 y guión A·13 @20:40, verbatim: «Después de la sesión, el consultor marca la asistencia y escribe su informe». La lámina 5 / guión A·05 @7:00 sitúa la pestaña Sesiones dentro del espacio del equipo, pero no enuncia ni la asistencia ni el informe. (La fila legacy la archivaba bajo «B4 A05»; el localizador sigue a la evidencia.)",B4 A05,El consultor marca asistencia y deja su informe (pages/consultor/sessions/).,BROKEN,P0,2-lens,PENDIENTE,Consultor,,
A06-1,EXPLICIT_PROMISE,"Bloque 4, lámina 6 («Definir el contexto una vez ordena todo lo que viene después», los cinco pasos); guión A·06 @8:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,El flujo de cinco pasos existe como recorrido coherente: Contexto Transversal -> Plan de Migracion -> Instrumento y calibracion -> Aplicacion docente ,BROKEN,P1,1-agent,PENDIENTE,,,
A07-1,EXPLICIT_PROMISE,"Bloque 4, lámina 7 («El colegio se describe a sí mismo, y queda registrado»); guión A·07 @9:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,"Contexto Transversal captura: total de estudiantes, que niveles educativos imparte la escuela (10 seleccionados en la demo) y cursos por nivel. Muestr",CONDITIONAL,P1,1-agent,PENDIENTE,Onboarding,,
A07-2,EXPLICIT_PROMISE,"Bloque 4, lámina 7 («El colegio se describe a sí mismo, y queda registrado»); guión A·07 @9:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,Dos estados de completitud mostrados como badges: 'Contexto Estructural: Completado' y 'Preguntas de Contexto: Completado'.,CONDITIONAL,P2,1-agent,PENDIENTE,Onboarding,,
A07-3,EXPLICIT_PROMISE,"Bloque 4, lámina 7 («El colegio se describe a sí mismo, y queda registrado»); guión A·07 @9:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,"'El ano de implementacion determina el nivel de madurez esperado: Ano 1 Incipiente, Ano 5 Consolidado.'",BROKEN,P1,1-agent,PENDIENTE,,,
A08-1,EXPLICIT_PROMISE,"Bloque 4, lámina 8 («La transformación tiene un calendario, nivel por nivel»); guión A·08 @11:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,"Plan de Migracion muestra cinco anillos de 'Proyeccion de Transformacion': 44 / 63 / 81 / 94 / 100 %, con el ano actual destacado.",BROKEN,P0,2-lens,PENDIENTE,Directora,,
A08-2,EXPLICIT_PROMISE,"Bloque 4, lámina 8 («La transformación tiene un calendario, nivel por nivel»); guión A·08 @11:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,"'GT = 100% transformado desde el inicio' y 'GI por ano' editable: Ano1 10%, Ano2 25%, Ano3 50%, Ano4 75%, Ano5 100%.",BROKEN,P1,1-agent,PENDIENTE,,,
A08-3,EXPLICIT_PROMISE,"Bloque 4, lámina 8 («La transformación tiene un calendario, nivel por nivel»); guión A·08 @11:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,"La matriz GT/GI: nivel por nivel, ano por ano, define si un curso es Generacion Tractor o Generacion Innova.",BROKEN,P1,1-agent,PENDIENTE,,,
A08-4,EXPLICIT_PROMISE,"Bloque 4, lámina 8 («La transformación tiene un calendario, nivel por nivel»); guión A·08 @11:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,'Los niveles de Medio Menor a Segundo Basico son SIEMPRE GT y NO PUEDEN MODIFICARSE.',REFUTED,NONE,2-lens,n/a,,,
A08-5,EXPLICIT_PROMISE,"Bloque 4, lámina 8 («La transformación tiene un calendario, nivel por nivel»); guión A·08 @11:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,'Cada vez que se toca esa matriz queda registrado en el historial: quien la cambio y cuando.',READY,P2,1-agent,n/a,,,
A08-6,EXPLICIT_PROMISE,"Bloque 4, lámina 8 («La transformación tiene un calendario, nivel por nivel»); guión A·08 @11:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A06-A08,"'Cuando llega una directora nueva, el plan no empieza de cero' — durabilidad ante rotacion de directoras.",READY,P2,1-agent,n/a,,,
A09-1,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09,La Fundacion construye y publica el instrumento. Version 1.1.0.,CONDITIONAL,P1,1-agent,PENDIENTE,Onboarding,,
A09-2,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09,"Constructor de Evaluaciones: nombre, AREA, VERSION, ESTADO, ACTUALIZADO, acciones (editar, duplicar); pestanas Activos / Archivados; filtros por estad",READY,P2,1-agent,n/a,,,
A09-3,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09,"La escala de madurez tiene exactamente cinco niveles: 0 Por Comenzar, 1 Incipiente, 2 En Desarrollo, 3 Avanzado, 4 Consolidado.",READY,P2,1-agent,n/a,,,
A09-4,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09,"Todo indicador pertenece a una de exactamente cinco categorias: Cobertura, Frecuencia, Profundidad, Traspaso, Detalle.",READY,NONE,1-agent,n/a,,,
A09-5,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09,Los niveles esperados se fijan por ano y por generacion (ano 1-5 y GT/GI) — la pantalla de expectativas.,CONDITIONAL,P1,1-agent,PENDIENTE,Onboarding,,
A09-6,EXPLICIT_PROMISE,"Bloque 4, lámina 12 («Cuando el profesor se va, la práctica se queda»); guión A·12 @18:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo». (La fila legacy la archivaba bajo «B4 A09»; el localizador sigue a la evidencia.)",B4 A09,Publicar una nueva version no altera retroactivamente las evaluaciones ya aplicadas.,BROKEN,P0,2-lens,PENDIENTE,Docente,,
A09-7,IMPLIED_COMMITMENT,"Localizador: lámina 9, captura del Constructor de Evaluaciones con las pestañas «Activos / Archivados» y la columna de acciones; el guión no las menciona. Inferencia: la captura acredita que los controles EXISTEN; que archivar y duplicar FUNCIONEN es inferencia.",B4 A09,Las acciones de archivar y duplicar funcionan.,BROKEN,P1,1-agent,PENDIENTE,,,
A06-2,EXPLICIT_PROMISE,"Bloque 4, lámina 6 («Definir el contexto una vez ordena todo lo que viene después», los cinco pasos); guión A·06 @8:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09-A10,"Asignar un docente a un curso es lo que crea sus evaluaciones. NO HAY UN SEGUNDO TRAMITE, ni una planilla que alguien tenga que llenar aparte.",CONDITIONAL,P0,1-agent,PENDIENTE,Onboarding,,
A06-3,EXPLICIT_PROMISE,"Bloque 4, lámina 6 («Definir el contexto una vez ordena todo lo que viene después», los cinco pasos); guión A·06 @8:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09-A10,"Aplicacion docente: evidencia por indicador, CON AUTOGUARDADO.",BROKEN,P1,1-lens,PENDIENTE,,,
A09-10,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09-A10,"El docente responde la suya, POR CURSO y POR GENERACION.",BROKEN,P1,1-lens,PENDIENTE,,,
A09-11,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09-A10,"La categoria cobertura funciona como una compuerta: si el docente responde que NO, la plataforma CIERRA EL RESTO DE LA PRACTICA y anota 'esta practica",BROKEN,P0,2-lens,PENDIENTE,Docente,,
A09-8,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09-A10,"""Mis Evaluaciones"": '3 evaluaciones asignadas', agrupadas POR COMPLETAR / COMPLETADAS, cada una con version (v1.1.0), estado (Pendiente / En Progreso ",BROKEN,P1,1-agent,PENDIENTE,,,
A09-9,EXPLICIT_PROMISE,"Bloque 4, lámina 9 («Si la práctica no se implementa, se declara — y no se puntúa»); guión A·09 @12:50; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A09-A10,La insignia 'Nueva version — el instrumento fue actualizado desde tu ultima evaluacion' y un chip 'Actualizado'.,BROKEN,P1,1-agent,PENDIENTE,,,
A10-1,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A10,"""Puntuación Total 59% / En Desarrollo"" — puntaje calculado mapeado a la banda de madurez 0-4.",READY,NONE,1-agent,n/a,,,
A10-2,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A10,"""Expectativa Año 2 GT: Cumple. Nivel esperado: Incipiente.""",BROKEN,P1,1-agent,PENDIENTE,,,
A10-3,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A10,"""Indicadores 19/19 sobre la expectativa.""",BROKEN,P1,1-lens,PENDIENTE,,,
A10-4,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A10,"""Fortaleza: Aprendizaje Basado en Proyectos"" y ""Área de mejora: Metacognición y agencia"" — derivadas automáticamente, ""no lo escribió nadie a mano"".",READY,P2,1-agent,n/a,,,
A10-5,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A10,"""Análisis de Brechas - Año 2, Expectativas GT"" con Adelante 15, En camino 4, Atrasado 0, Crítico 0.",BROKEN,P1,1-agent,PENDIENTE,,,
A10-6,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A10,"Los gráficos ""Puntuación por Práctica Generativa"" y ""Perfil de Competencias"" se renderizan.",READY,P2,1-agent,n/a,,,
A10-7,EXPLICIT_PROMISE,"Bloque 4, lámina 10 («Nivel, tiempo y ruta en una sola pantalla»); guión A·10 @14:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A10,"Tabla de detalle por práctica: ""70% Aprendizaje Basado en Proyectos, Avanzado, 5 indicadores"" con filas INDICADOR / CATEGORIA / RESPUESTA (Sí, ""2 - En",BROKEN,P1,1-agent,PENDIENTE,,,
A10-8,IMPLIED_COMMITMENT,Localizador: lámina 10 («Puntuación Total 59 %») junto a la promesa de compuerta del guión A·09 @12:50. Inferencia: mostrar un puntaje total al lado de una compuerta que cierra las prácticas no implementadas representa que el total sigue siendo fiable bajo esa compuerta; qué aporta al total una práctica declarada no implementada nunca se enunció.,B4 A10,El puntaje debe ser confiable dada la compuerta de cobertura: qué aporta a la Puntuación Total una práctica declarada no implementada.,BROKEN,P0,2-lens,PENDIENTE,Docente,,
A11-1,EXPLICIT_PROMISE,"Bloque 4, lámina 11 («El colegio completo, sin pedirle el dato a nadie»); guión A·11 @17:00; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A11,"El colegio completo, SIN PEDIRLE EL DATO A NADIE — la directora ve resultados agregados sin recolectar datos manualmente.",BROKEN,P0,2-lens,PENDIENTE,Directora,,
